Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071514900KS,Intel,Core i9-14900KS,1,133,1592,https://cpu.userbenchmark.com/SpeedTest/2295306/IntelR-CoreTM-i9-14900KS
CPU,BX8071514900KF,Intel,Core i9-14900KF,2,131,7773,https://cpu.userbenchmark.com/SpeedTest/2212218/IntelR-CoreTM-i9-14900KF
CPU,BX8071514900K,Intel,Core i9-14900K,3,131,19876,https://cpu.userbenchmark.com/Intel-Core-i9-14900K/Rating/4151
CPU,BX8071513900KS,Intel,Core i9-13900KS,4,131,4204,https://cpu.userbenchmark.com/SpeedTest/2000819/13th-Gen-IntelR-CoreTM-i9-13900KS
CPU,BX8071514700KF,Intel,Core i7-14700KF,5,130,4842,https://cpu.userbenchmark.com/SpeedTest/2212020/IntelR-CoreTM-i7-14700KF
CPU,BX8071514700K,Intel,Core i7-14700K,6,130,10287,https://cpu.userbenchmark.com/Intel-Core-i7-14700K/Rating/4152
CPU,BX8071513900KF,Intel,Core i9-13900KF,7,129,16914,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF
CPU,BX8071513900K,Intel,Core i9-13900K,8,129,49132,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129
CPU,BX8071513700KF,Intel,Core i7-13700KF,9,126,20009,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF
CPU,BX8071513700K,Intel,Core i7-13700K,10,126,38490,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137
CPU,BX8071514900,Intel,Core i9-14900,11,124,226,https://cpu.userbenchmark.com/SpeedTest/2278149/IntelR-CoreTM-i9-14900
CPU,BX8071514900F,Intel,Core i9-14900F,12,124,1023,https://cpu.userbenchmark.com/SpeedTest/2277046/IntelR-CoreTM-i9-14900F
CPU,BX8071514600KF,Intel,Core i5-14600KF,13,124,4869,https://cpu.userbenchmark.com/SpeedTest/2213004/IntelR-CoreTM-i5-14600KF
CPU,BX8071513900F,Intel,Core i9-13900F,14,124,824,https://cpu.userbenchmark.com/SpeedTest/1994287/13th-Gen-IntelR-CoreTM-i9-13900F
CPU,BX8071514600K,Intel,Core i5-14600K,15,124,3343,https://cpu.userbenchmark.com/Intel-Core-i5-14600K/Rating/4153
CPU,BX8071513900,Intel,Core i9-13900,16,123,1007,https://cpu.userbenchmark.com/SpeedTest/1977296/13th-Gen-IntelR-CoreTM-i9-13900
CPU,100-100001084WOF,AMD,Ryzen 7 9800X3D,17,122,2321,https://cpu.userbenchmark.com/SpeedTest/2356328/AMD-Ryzen-7-9800X3D-8-Core-Processor
